Id,Text,Context
Button_Cancel,キャンセル,ダイアログ
Button_Exit,終了,メインメニュー
Button_OK,OK,ダイアログ
Button_Settings,設定,メインメニュー
Button_Start,スタート,メインメニュー
Character_Hero_Desc,正義を守る勇敢な戦士,キャラクター説明
Character_Hero_Name,勇者,キャラクター名
Character_Mage_Desc,古代の知恵を持つ魔法使い,キャラクター説明
Character_Mage_Name,大魔法使い,キャラクター名
Error_FileNotFound,ファイルが見つかりません,ファイルエラー
Error_InvalidInput,無効な入力です,入力検証
Error_NetworkDisconnected,ネットワーク接続が切断されました,エラーポップアップ
Item_Shield_Desc,丈夫な木で作られた盾,アイテム説明
Item_Shield_Name,木の盾,アイテム名
Item_Sword_Desc,頑丈な鋼で作られた剣,アイテム説明
Item_Sword_Name,鋼の剣,アイテム名
Message_Goodbye,さようなら！,ログアウト
Message_Loading,ロード中...,データロード
Message_SaveComplete,セーブ完了,セーブ通知
Message_Welcome,ようこそ！,初回ログイン
QuestData.quest_main_001.Name,始まりの旅,クエスト名
QuestData.quest_main_001.Description,村の長老に会って冒険を始めましょう。,クエスト説明
QuestData.quest_main_001.Objectives#0.Description,村の長老と話す,クエスト目標
QuestData.quest_main_001.Objectives#1.Description,村の近くのスライム5体を倒す,クエスト目標
QuestData.quest_main_002.Name,森の探検,クエスト名
QuestData.quest_main_002.Description,古代の祠を探して森へ冒険に出かけましょう。,クエスト説明
QuestData.quest_main_002.Objectives#0.Description,回復ハーブを10個集める,クエスト目標
QuestData.quest_main_002.Objectives#1.Description,森の祠に到達する,クエスト目標
QuestData.quest_side_001.Name,ハンターの依頼,クエスト名
QuestData.quest_side_001.Description,地元のハンターの仕事を手伝ってください。,クエスト説明
QuestData.quest_side_001.Objectives#0.Description,野生のイノシシを3頭狩る,クエスト目標
QuestData.quest_side_001.Objectives#1.Description,イノシシの牙を3つ集める,クエスト目標
QuestData.quest_daily_001.Name,デイリー訓練,クエスト名
QuestData.quest_daily_001.Description,毎日の戦闘訓練を完了してください。,クエスト説明
QuestData.quest_daily_001.Objectives#0.Description,モンスターを10体倒す,クエスト目標
